Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
5,1,15.6,4,8,1,1.88,1096.16,0,256,0,1,141.21,33,1
1,1,12.0,7,8,2,0.92,1510.0,0,512,0,1,226.42,33,1
2,2,14.0,4,8,1,1.63,860.0,0,256,0,0,157.35,33,1
6,2,15.6,4,4,1,2.2,399.0,0,128,0,0,141.21,7,0
3,2,15.6,1,4,1,2.1,395.0,1000,0,0,0,100.45,11,0
5,4,15.6,4,16,1,2.65,1349.0,1000,128,0,1,141.21,34,2
2,1,15.6,4,8,1,1.83,699.0,0,256,0,1,141.21,34,2
2,2,15.6,4,8,1,1.96,598.99,0,256,0,0,141.21,33,1
4,4,15.6,4,16,1,2.2,1449.0,1000,128,0,1,141.21,34,2
5,1,13.3,4,8,1,1.21,1649.0,0,256,0,1,165.63,34,1
4,4,15.6,4,8,1,2.45,699.0,1000,0,0,0,141.21,21,0
3,2,15.6,4,8,1,2.2,689.0,1000,0,0,0,141.21,34,2
2,2,13.3,4,16,1,1.49,1197.0,0,512,0,0,165.63,34,1
5,4,15.6,4,8,1,2.65,1195.0,0,256,0,0,141.21,33,2
4,1,14.0,4,8,1,1.25,1049.0,0,256,0,0,157.35,34,1
3,5,13.3,4,8,1,1.5,847.0,0,256,1,1,165.63,33,1
5,2,15.6,4,8,3,2.2,599.9,1000,0,0,0,141.21,34,0
5,2,15.6,4,4,3,2.2,485.0,0,256,0,0,141.21,32,0
4,2,15.6,4,6,1,2.0,577.0,0,256,0,0,141.21,32,2
2,4,15.6,4,12,1,2.62,1249.0,1000,128,0,1,141.21,34,2
2,2,15.6,4,8,1,1.91,719.0,0,256,0,0,141.21,34,0
2,2,15.6,4,4,1,2.1,349.0,500,0,0,0,141.21,19,0
5,2,15.6,4,8,3,2.2,647.0,1000,0,0,0,141.21,33,0
2,1,13.3,4,8,1,1.38,1119.0,0,256,0,1,165.63,34,2
9,1,13.5,8,8,1,1.252,1340.0,0,256,1,0,200.84,33,1
2,2,14.0,4,6,1,1.58,659.0,0,256,0,1,157.35,33,2
6,2,15.6,4,4,1,1.85,414.9,1000,0,0,0,141.21,32,1
4,1,14.0,4,8,1,1.3,1193.0,0,256,0,1,157.35,34,2
8,4,15.6,4,16,1,2.2,1299.0,1000,256,0,0,141.21,34,2
6,2,14.0,4,8,1,1.58,1480.0,0,256,0,1,157.35,34,1
4,1,15.6,4,16,1,1.5,1262.0,1000,256,0,0,141.21,34,2
5,1,13.3,14,8,1,1.23,1379.0,0,256,1,0,276.05,34,1
6,5,13.3,4,8,1,1.37,1399.0,0,256,1,1,165.63,33,1
