Company,TypeName,ScreenResolution,Ram(GB),OpSys,Weight(kg),HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
2,1,4,8,1,1.38,0,256,0,1,165.63,34,2
9,1,8,8,1,1.252,0,256,1,0,200.84,33,1
2,2,4,6,1,1.58,0,256,0,1,157.35,33,2
6,2,4,4,1,1.85,1000,0,0,0,141.21,32,1
4,1,4,8,1,1.3,0,256,0,1,157.35,34,2
8,4,4,16,1,2.2,1000,256,0,0,141.21,34,2
6,2,4,8,1,1.58,0,256,0,1,157.35,34,1
4,1,4,16,1,1.5,1000,256,0,0,141.21,34,2
5,1,14,8,1,1.23,0,256,1,0,276.05,34,1
6,5,4,8,1,1.37,0,256,1,1,165.63,33,1
2,2,1,4,1,1.63,500,0,0,1,111.94,33,1
5,1,4,8,1,1.21,0,256,0,1,165.63,33,1
2,5,4,8,1,1.26,0,256,1,1,165.63,33,1
2,2,4,8,1,1.63,0,512,0,0,157.35,34,1
5,2,4,8,1,2.16,1000,256,0,1,141.21,34,2
4,2,4,4,1,2.0,1000,0,0,0,127.34,32,2
4,2,4,8,1,1.7,0,256,0,0,141.21,34,2
3,2,4,6,1,2.1,1000,0,1,1,141.21,32,1
8,4,4,16,1,1.8,2000,256,0,0,141.21,34,2
6,2,4,8,4,2.2,0,256,0,0,141.21,33,2
2,2,4,16,1,2.5,0,512,0,0,127.34,34,2
3,2,1,4,1,2.1,0,256,0,0,100.45,11,0
2,2,1,4,4,1.86,500,0,0,0,100.45,29,1
2,2,4,8,1,1.63,1000,0,0,0,157.35,33,1
4,2,1,4,1,1.65,0,64,0,0,111.94,13,0
5,2,4,16,1,2.8,2000,256,0,0,127.34,34,0
2,2,4,8,1,2.5,0,256,0,0,127.34,33,1
5,2,1,8,1,2.36,1000,0,0,0,100.45,33,0
5,2,4,4,1,2.2,1000,0,0,0,141.21,32,0
3,1,4,8,1,1.6,0,256,0,1,157.35,34,1
3,2,4,4,1,2.2,0,256,0,0,141.21,32,2
2,2,1,8,1,2.05,1000,0,0,0,100.45,34,1
2,2,4,8,1,1.63,0,256,0,0,157.35,34,1
6,2,1,4,4,1.9,1000,0,0,0,100.45,29,1
4,4,4,8,1,3.0,1000,128,0,0,127.34,33,2
6,2,4,4,4,2.2,1000,0,0,0,141.21,33,2
2,2,4,4,1,1.32,0,256,0,1,165.63,33,1
3,2,4,4,1,3.0,1000,0,0,1,127.34,32,2
6,2,4,8,1,1.75,0,256,0,1,157.35,33,0
6,4,4,8,4,2.4,0,256,0,1,141.21,34,2
10,2,1,4,1,2.1,500,0,0,0,100.45,33,1
2,2,1,4,1,1.86,0,256,0,0,100.45,7,0
4,1,4,8,1,1.25,0,256,0,0,157.35,34,1
2,1,15,8,1,0.97,0,512,1,1,352.47,31,1
4,2,4,4,1,2.0,1000,0,0,0,141.21,29,1
8,4,4,16,1,2.9,1000,256,0,0,127.34,34,2
3,2,1,4,1,2.1,1000,0,0,0,100.45,32,1
5,4,4,16,1,2.56,0,512,0,0,141.21,34,2
5,4,4,8,1,2.62,0,0,0,0,141.21,34,2
6,2,1,4,1,1.9,0,128,0,0,100.45,33,1
8,4,4,16,1,2.8,1000,256,0,0,127.34,34,2
2,1,4,4,1,1.48,0,256,0,0,157.35,33,1
2,2,4,6,1,1.91,0,256,0,0,141.21,33,0
6,5,4,4,1,1.74,0,256,1,1,157.35,32,1
4,5,4,8,1,1.1,0,256,1,0,165.63,33,1
5,5,4,8,1,1.56,0,256,1,0,141.21,34,1
10,2,1,4,1,2.1,500,0,0,0,100.45,32,1
4,2,1,4,1,2.03,1000,0,0,0,100.45,11,0
3,2,4,4,1,3.0,0,256,0,1,127.34,33,2
5,2,4,8,1,2.13,0,256,0,0,141.21,33,0
6,4,4,16,1,2.5,0,256,0,1,141.21,34,2
3,2,1,4,1,2.1,1000,0,0,0,100.45,29,1
8,4,4,16,1,2.4,1000,256,0,1,141.21,34,2
3,2,1,4,1,2.1,1000,0,0,0,100.45,36,1
5,4,4,8,1,2.56,1000,128,0,0,141.21,34,2
3,2,4,8,1,3.0,0,256,0,1,127.34,33,2
2,2,4,4,1,1.49,500,0,0,1,165.63,33,1
11,1,6,8,1,1.05,0,256,0,1,199.69,33,1
2,2,4,6,1,2.71,2000,0,0,1,127.34,33,0
6,2,1,4,4,2.2,500,0,0,0,100.45,7,0
10,2,1,4,1,2.0,500,0,0,0,100.45,32,1
2,2,4,8,1,2.5,0,256,0,0,127.34,33,2
5,2,1,8,1,2.3,1000,0,0,0,100.45,32,1
3,2,1,4,1,2.1,0,128,0,0,100.45,32,1
8,4,4,32,1,4.4,1000,512,0,0,119.72,34,2
6,2,4,8,1,1.9,1000,128,0,0,141.21,33,0
2,5,15,8,1,1.29,0,256,1,1,331.26,33,1
5,2,4,16,3,2.02,2000,256,0,0,141.21,34,0
5,1,4,8,1,1.23,0,256,0,0,165.63,33,1
6,5,15,16,1,1.4,0,512,1,1,316.97,34,1
10,2,1,8,1,2.0,0,128,0,0,100.45,33,1
12,2,4,8,4,1.95,0,256,0,1,141.21,33,2
5,2,4,16,1,2.77,0,512,1,0,127.34,34,2
5,2,15,16,1,2.06,0,512,1,0,282.42,34,2
6,4,4,8,4,2.4,0,256,0,1,141.21,33,2
3,1,4,8,1,1.12,0,256,0,1,165.63,33,1
5,2,4,8,1,2.8,1000,128,0,0,127.34,34,0
6,5,9,16,1,1.42,0,1000,1,0,209.8,34,1
13,2,4,4,1,1.3,0,0,0,1,157.35,29,1
12,1,4,8,4,1.3,0,256,0,1,165.63,33,2
6,2,3,8,4,2.8,0,256,0,0,106.11,33,2
5,5,4,8,1,1.62,1000,0,1,1,165.63,34,1
2,2,4,8,1,2.5,1000,0,0,1,127.34,33,2
14,4,15,32,1,3.49,0,1000,1,0,254.67,34,2
2,2,4,8,1,1.49,0,512,0,0,165.63,33,1
2,4,4,16,1,3.35,1000,256,0,1,127.34,34,2
2,2,4,8,1,2.5,0,256,0,0,127.34,34,2
5,4,15,16,1,2.65,1000,512,0,1,282.42,34,2
6,2,1,4,1,2.1,0,128,0,0,100.45,33,1
3,2,4,8,1,2.23,1000,0,0,0,141.21,34,2
6,4,4,16,1,3.2,1000,512,0,1,141.21,34,2
5,6,15,16,1,2.8,1000,256,0,0,282.42,37,2
6,4,4,16,4,2.4,0,512,0,0,141.21,34,2
5,2,1,6,1,2.3,1000,0,1,0,100.45,32,1
5,1,15,8,1,1.21,0,256,1,1,331.26,34,1
5,1,4,8,1,1.2,0,256,0,0,165.63,34,1
6,2,1,8,1,2.2,0,256,0,0,100.45,33,1
3,2,4,8,3,2.4,1000,0,0,0,141.21,34,2
4,4,4,16,1,2.9,1000,256,0,0,127.34,34,2
2,2,4,4,4,2.1,500,0,0,0,141.21,32,1
6,2,4,8,4,2.2,0,256,0,0,141.21,33,1
11,1,6,8,1,1.05,0,512,0,1,199.69,34,1
5,1,4,8,1,1.4,0,256,0,1,165.63,34,0
6,2,3,8,4,2.8,1000,0,0,0,106.11,33,2
2,2,4,8,1,1.63,0,256,0,0,157.35,34,2
5,1,4,8,1,1.6,0,256,0,0,157.35,33,1
5,5,4,16,1,1.62,0,512,1,0,165.63,34,1
5,2,4,8,3,2.2,0,256,0,0,141.21,33,0
6,5,4,8,1,1.74,0,256,0,1,157.35,33,1
10,1,4,8,1,1.2,0,256,0,0,165.63,34,1
2,2,4,8,1,2.1,1000,0,0,0,141.21,33,1
5,4,4,16,1,4.42,1000,256,0,1,127.34,34,2
3,2,4,8,1,2.2,0,256,0,0,141.21,34,2
5,2,4,16,1,2.3,1000,0,1,0,141.21,34,0
4,2,4,8,1,2.0,0,256,0,0,141.21,33,2
4,2,4,8,1,2.69,500,256,0,0,127.34,33,2
2,2,4,8,1,1.9,1000,0,0,0,141.21,34,0
4,2,1,4,1,2.37,1000,0,0,0,100.45,32,1
2,2,1,4,1,2.1,500,0,0,0,100.45,16,0
6,4,4,16,1,3.2,1000,256,0,1,141.21,34,2
5,2,4,8,1,1.6,0,256,0,0,157.35,33,1
3,5,4,8,1,1.6,0,256,1,1,165.63,33,1
5,2,4,16,3,2.36,0,256,0,0,141.21,34,0
3,2,1,4,3,2.1,1000,0,0,0,100.45,32,1
4,2,4,4,1,2.2,1000,128,0,0,141.21,2,0
4,4,4,32,1,4.7,1000,512,0,0,127.34,34,2
3,4,4,8,1,2.5,0,256,0,1,141.21,33,2
6,2,1,8,1,2.2,0,128,0,0,100.45,32,1
4,2,4,8,1,2.1,1000,128,0,0,127.34,34,2
4,2,4,8,4,2.69,1000,128,0,0,127.34,34,2
5,4,4,8,1,2.56,0,256,0,0,141.21,33,2
6,5,4,8,1,1.38,0,256,1,1,158.48,34,1
5,2,4,8,1,2.2,2000,128,0,0,141.21,34,0
2,2,1,8,1,2.04,1000,0,1,0,100.45,33,1
4,4,4,16,1,3.6,0,256,0,0,127.34,34,2
